"","doy","park","month","decades","accumswe_daily","aet_daily","deficit_daily","pet_daily","rain_daily","runoff_daily","soil_water_daily"
"201",5,"BRCA","Jan","2060-2099",2.9225,0.13,0.06,0.1875,1.3775,1.0975,42.7375
"202",5,"CANY","Jan","1980-2019",5.725,0.0575,0.0325,0.0925,0.1325,0.4675,8.3825
"203",5,"CANY","Jan","2020-2059",0.8225,0.16,0.1275,0.295,0.15,0.0625,7.3175
"204",5,"CANY","Jan","2060-2099",0.17,0.295,0.1475,0.4375,0.4875,0.0575,6.9075
"205",5,"CARE","Jan","1980-2019",6.585,0.035,0.025,0.0675,0.0775,0,27.9275
"206",5,"CARE","Jan","2020-2059",2.6575,0.1125,0.1025,0.215,0.0725,0.0325,27.0575
"207",5,"CARE","Jan","2060-2099",0.7575,0.1275,0.1425,0.28,0.2675,0,27.6
"208",5,"CEBR","Jan","1980-2019",152.945,0,0,0,0,0.21,226.7525
"209",5,"CEBR","Jan","2020-2059",101.3575,0.0275,0,0.0275,0.87,1.4325,228.0875
"210",5,"CEBR","Jan","2060-2099",39.2,0.0425,0.005,0.0475,1.475,2.0875,225.2075
"211",5,"COLM","Jan","1980-2019",9.72,0.075,0.0125,0.09,0.3575,0.4825,44.5725
"212",5,"COLM","Jan","2020-2059",1.3225,0.19,0.0725,0.265,0.1775,0.085,44.0725
"213",5,"COLM","Jan","2060-2099",0.5625,0.28,0.12,0.3975,0.8875,0,35.1275
"214",5,"CURE","Jan","1980-2019",27.1625,0.0025,0,0.0025,0,0,21.98
"215",5,"CURE","Jan","2020-2059",22.7275,0,0,0,0,0,22.245
"216",5,"CURE","Jan","2060-2099",14.3225,0.0125,0.0025,0.015,0.01,0.1575,19.8325
"217",5,"DINO","Jan","1980-2019",14.7875,0.005,0.0075,0.015,0.065,0,40.71
"218",5,"DINO","Jan","2020-2059",6.28,0.0675,0.0175,0.09,0.1375,0.01,41.7275
"219",5,"DINO","Jan","2060-2099",4.0425,0.115,0.02,0.145,0.365,0.155,45.97
"220",5,"FOBU","Jan","1980-2019",39.9425,0,0,0,0,0,164.9775
"221",5,"FOBU","Jan","2020-2059",31.23,0.0025,0,0.0025,0.1025,0,138.575
"222",5,"FOBU","Jan","2060-2099",8.5375,0.045,0.0325,0.0775,0.415,0,130.04
"223",5,"GOSP","Jan","1980-2019",20.95,0.0225,0.0075,0.03,0.1325,0.07,66.495
"224",5,"GOSP","Jan","2020-2059",5.1575,0.1275,0.0175,0.1425,0.875,1.03,76.035
"225",5,"GOSP","Jan","2060-2099",0.5325,0.2325,0.035,0.27,1.5125,1.015,71.115
"226",5,"HOVE","Jan","1980-2019",11.37,0.055,0.0425,0.1025,0.44,0,61.5125
"227",5,"HOVE","Jan","2020-2059",2.5375,0.195,0.1475,0.3375,0.1925,0,60.16
"228",5,"HOVE","Jan","2060-2099",0.5725,0.2475,0.1825,0.4275,2.1275,0,46.785
"229",5,"NABR","Jan","1980-2019",11.8425,0.0675,0.03,0.0975,0.35,0.435,38.315
"230",5,"NABR","Jan","2020-2059",1.785,0.2675,0.1075,0.37,0.25,0.0575,38.285
"231",5,"NABR","Jan","2060-2099",0.36,0.345,0.115,0.455,1.8025,0.2025,32.8975
"232",5,"PISP","Jan","1980-2019",2.09,0.1725,0.1375,0.3175,1.4075,0.055,44.93
"233",5,"PISP","Jan","2020-2059",0.2775,0.3525,0.275,0.6175,0.985,0.1075,37.995
"234",5,"PISP","Jan","2060-2099",0.0025,0.41,0.335,0.755,1.96,0,28.6275
"235",5,"TICA","Jan","1980-2019",69.84,0.01,0.0025,0.01,0.1625,0.37,129.7225
"236",5,"TICA","Jan","2020-2059",55.0775,0.04,0,0.04,1.1225,2.4325,127.6975
"237",5,"TICA","Jan","2060-2099",23.0125,0.125,0,0.125,1.91,2.725,134.975
"238",5,"ZION","Jan","1980-2019",11.845,0.1375,0.0275,0.1675,1.905,2.0275,38.98
"239",5,"ZION","Jan","2020-2059",1.2875,0.3425,0.08,0.425,1.505,1.0475,36.3575
"240",5,"ZION","Jan","2060-2099",0.0975,0.445,0.0975,0.5425,3.4875,3.37,34.94
"241",6,"ARCH","Jan","1980-2019",9.005,0.0675,0.015,0.0825,0.0625,0.105,13.025
"242",6,"ARCH","Jan","2020-2059",1.3075,0.21,0.06,0.29,0.4475,0.3975,11.65
"243",6,"ARCH","Jan","2060-2099",0.305,0.3275,0.1575,0.49,0.8025,0.46,10.5725
"244",6,"BLCA","Jan","1980-2019",23.475,0.0175,0,0.0175,0.055,0.22,77.4625
"245",6,"BLCA","Jan","2020-2059",10.1925,0.0575,0.0025,0.06,0.3375,0.24,82.63
"246",6,"BLCA","Jan","2060-2099",1.6275,0.26,0.075,0.33,1.4775,0.125,63.925
"247",6,"BRCA","Jan","1980-2019",24.59,0.0625,0,0.065,0.015,0.015,43.3075
"248",6,"BRCA","Jan","2020-2059",10.44,0.1175,0.0175,0.1375,0.4,0.5525,46.2075
"249",6,"BRCA","Jan","2060-2099",2.0975,0.1725,0.065,0.2325,1.365,2.1575,42.865
"250",6,"CANY","Jan","1980-2019",5.82,0.0675,0.025,0.095,0.3975,0.53,8.4325
"251",6,"CANY","Jan","2020-2059",0.9975,0.16,0.125,0.2825,0.1175,0.1875,7.2175
